,img_path,thumbsup,thumbsdown,variation,url
43360ba2-8eba-11ed-90a6-00163e008cc0_00000,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/43360ba2-8eba-11ed-90a6-00163e008cc0_00000.JY3QYB2n.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033116618&Signature=ITZ%2BFU7iIwCh7eRVQapUoUNR7dY%3D
8931175a-8eba-11ed-8e86-00163e008cc0_00003,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/8931175a-8eba-11ed-8e86-00163e008cc0_00003.YzlPzwBm.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033116735&Signature=Qns8myK%2B3RfT0LVERaveR8zKPbU%3D
22153da2-8ebb-11ed-965a-00163e008cc0_00001,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/22153da2-8ebb-11ed-965a-00163e008cc0_00001.24Kn4G0N.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033116991&Signature=oK4Y7QtvdIuYzLyTVHNYdbQxsOo%3D
22153da2-8ebb-11ed-965a-00163e008cc0_00003,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/22153da2-8ebb-11ed-965a-00163e008cc0_00003.24Kn4G0N.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033116991&Signature=XkrvuiIGk4mtskUXkcwdEnPzAVU%3D
400ce8c8-8ebb-11ed-95f9-00163e008cc0_00000,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/400ce8c8-8ebb-11ed-95f9-00163e008cc0_00000.QbmJbWaz.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117041&Signature=XiitfmqAuaCv2IgyiHJmOMton54%3D
4ae6e99c-8ebb-11ed-9285-00163e008cc0_00000,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/4ae6e99c-8ebb-11ed-9285-00163e008cc0_00000.4DjaDObm.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117060&Signature=2lvdbkvLrt8%2BBch5%2BKJL40J6DAs%3D
5300e1e6-8ebb-11ed-8cff-00163e008cc0_00000,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/5300e1e6-8ebb-11ed-8cff-00163e008cc0_00000.GNGONBmb.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117073&Signature=chm%2F18vGxh3SC%2Fp68V549gZ5KXQ%3D
640d3318-8ebb-11ed-811b-00163e008cc0_00002,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/640d3318-8ebb-11ed-811b-00163e008cc0_00002.8JKZJgEW.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117102&Signature=LezMdSDIMiWyyIMwA0XbmHpyPXU%3D
640d3318-8ebb-11ed-811b-00163e008cc0_00001,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/640d3318-8ebb-11ed-811b-00163e008cc0_00001.8JKZJgEW.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117102&Signature=19ifd58zxtHxS4rA%2B8X6w6RlVRE%3D
640d3318-8ebb-11ed-811b-00163e008cc0_00000,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/640d3318-8ebb-11ed-811b-00163e008cc0_00000.8JKZJgEW.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117102&Signature=SDStno2dLibMDy6Tm3%2F1kt9cSCg%3D
7dac423c-8ebb-11ed-b4d4-00163e008cc0_00000,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/7dac423c-8ebb-11ed-b4d4-00163e008cc0_00000.3k23krBk.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117145&Signature=ZB8pl3g%2Ft%2FgbExEwTY9YdPVyP6w%3D
15cdd56c-8ebc-11ed-9bb4-00163e008cc0_00003,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/15cdd56c-8ebc-11ed-9bb4-00163e008cc0_00003.0d7GdQkZ.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117400&Signature=KF4Pdua2dWXfcS%2BQ3MPGRi9AjlI%3D
26aee57e-8ebc-11ed-87dd-00163e008cc0_00000,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/26aee57e-8ebc-11ed-87dd-00163e008cc0_00000.gXy4XQPe.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117428&Signature=rM1TNfwPjAJcXra3HLjgCEOqLvM%3D
31875b2a-8ebc-11ed-b238-00163e008cc0_00000,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/31875b2a-8ebc-11ed-b238-00163e008cc0_00000.zw3ewAJQ.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117446&Signature=hJP9k5UdkaiQ2SRDWFQseT%2BnCV4%3D
3753522a-8ebc-11ed-be0b-00163e008cc0_00000,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/3753522a-8ebc-11ed-be0b-00163e008cc0_00000.ZQjKQ1yW.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117456&Signature=hWk%2B2xdSZ5%2BzUTRcYmSf%2Blcgflw%3D
4bab4bb0-8ebc-11ed-a229-00163e008cc0_00000,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/4bab4bb0-8ebc-11ed-a229-00163e008cc0_00000.ldyadb3J.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117490&Signature=YnmyNl5bPKtJdyXsC6eHPIzS0mA%3D
4bab4bb0-8ebc-11ed-a229-00163e008cc0_00003,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/4bab4bb0-8ebc-11ed-a229-00163e008cc0_00003.ldyadb3J.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117491&Signature=EcmLWibX5Fc%2FhUnxX2clyYvkVho%3D
4bab4bb0-8ebc-11ed-a229-00163e008cc0_00002,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/4bab4bb0-8ebc-11ed-a229-00163e008cc0_00002.ldyadb3J.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117491&Signature=KL0Vu8ZnVzv08jbNZgmhHvOvkKc%3D
66ee9b2a-8ebc-11ed-bb55-00163e008cc0_00001,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/66ee9b2a-8ebc-11ed-bb55-00163e008cc0_00001.1l1Dl48g.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117537&Signature=pHOTWuWn0qNOInWJDJyLXENopXM%3D
783356f0-8ebc-11ed-b4c2-00163e008cc0_00000,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/783356f0-8ebc-11ed-b4c2-00163e008cc0_00000.P6pa6W9B.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117565&Signature=yiwFR17llm8bgvKuNEFHLmBIGag%3D
c229355e-8ebc-11ed-9bbb-00163e008cc0_00003,,0,0,1,https://bkmk.oss-accelerate.aliyuncs.com/c229355e-8ebc-11ed-9bbb-00163e008cc0_00003.LVJGVwWP.jpg?OSSAccessKeyId=LTAI5tPynodLHeacT1J5SmWh&Expires=317033117690&Signature=orYaKv97ZAIzFP%2F7QvIbUaolESk%3D
